,Unnamed: 0,type,category,star,review_
48,49,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요 빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요   빠른 배송 감사합니다  번창하세요  빠른 배송 감사합니다  번창하세요 
49,50,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠른배송 안전포장 좋아요  
50,51,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠르게 잘 받았습니다 
51,52,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송은 좀 느렸지만 다른곳보다 저렴하게 구매했어요 상품은 매우 만족스러워요 
52,53,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,매우 좋습니다  사용하기도 
53,54,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,삶의 질이 올라감니다   
54,55,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,잘 사용하고 있어요 
55,56,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,역시는 역시인가요 
56,57,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,명불허전입니다  좋습니다  
57,58,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,사용하는 프로그램이 무겁지 않아 에어로 충분하네요 
